ID,Material,Film_Thickness_nm,Deposition_Method,Substrate,Refractive_Index,Bandgap_eV,Surface_Roughness_nm,Electrical_Conductivity_S_cm,Optical_Transmittance_%,Application,Source
153_A54,ZnO,129.2,CVD,PET,1.96,2.12,0.87,73.502937,87.61,Sensors,S18
2902_A55,TiO2,57.4,Sputtering,Silicon Wafer,2.26,3.62,0.57,80.933751,79.65,Optoelectronics,S19
1360_A56,Graphene,137.2,Spin Coating,Glass,1.89,1.83,2.39,105.736011,83.49,Sensors,S3
773_A57,SnO2,54.1,CVD,Quartz,2.34,3.1,3.93,52.260038,76.13,Optoelectronics,S12
2679_A58,Al2O3,68.0,CVD,PET,2.3,3.44,3.02,48.581875,94.58,Transparent Conductors,S8
1002_A59,TiO2,147.7,CVD,Silicon Wafer,2.51,3.99,1.81,3.14591,81.64,Sensors,S12
719_A60,ITO,94.8,Sputtering,PET,2.36,2.51,2.64,89.884732,86.8,Optoelectronics,S8
613_A61,Al2O3,106.3,Thermal Evaporation,Glass,1.81,3.66,4.35,43.099256,70.67,Transparent Conductors,S9
843_A62,Graphene,110.2,ALD,PET,1.71,2.58,2.13,77.679871,81.99,Solar Cells,S17
267_A63,ZnO,59.7,Spin Coating,Quartz,2.87,3.4,4.48,54.352106,70.62,Sensors,S12
52_A64,ITO,77.4,Spin Coating,PET,1.75,2.66,1.37,69.090488,78.3,Sensors,S22
1196_A65,MoS2,137.4,CVD,PET,2.76,3.9,2.84,48.890115,77.28,Transparent Conductors,S22
1271_A66,MoS2,93.1,Spin Coating,Glass,2.54,1.84,0.83,67.851547,96.1,Transparent Conductors,S6
1492_A67,ITO,79.5,Thermal Evaporation,Glass,2.12,1.22,3.25,102.390507,78.94,Optoelectronics,S24
1583_A68,Graphene,86.6,CVD,Glass,2.21,1.74,1.05,49.312652,90.53,Optoelectronics,S18
522_A69,SnO2,130.6,Sputtering,PET,2.85,1.86,1.19,60.21032,89.83,Solar Cells,S2
1695_A70,ZnO,109.1,Thermal Evaporation,Glass,1.92,2.64,2.74,91.359812,77.82,Sensors,S18
2664_A71,TiO2,87.4,Spin Coating,PET,1.65,3.31,4.64,102.408125,72.01,Solar Cells,S21
2749_A72,ITO,81.2,Thermal Evaporation,Glass,2.52,2.1,1.33,36.863632,75.98,Sensors,S3
1922_A73,MoS2,144.7,CVD,Silicon Wafer,2.66,1.93,3.64,12.482382,76.72,Optoelectronics,S12
103_A74,MoS2,101.5,Spin Coating,Glass,2.06,1.77,1.43,24.125256,86.66,Optoelectronics,S20
696_A75,TiO2,81.5,CVD,Glass,2.66,3.04,4.22,72.453364,79.98,Sensors,S9
2333_A76,Graphene,90.5,Thermal Evaporation,PET,3.02,1.4,1.72,54.344462,77.01,Optoelectronics,S15
2725_A77,TiO2,99.5,CVD,Quartz,1.77,1.29,2.25,43.286979,80.33,Transparent Conductors,S25
2273_A78,ZnO,128.4,Spin Coating,Quartz,2.55,2.2,3.1,61.571651,84.96,Optoelectronics,S16
2483_A79,Graphene,82.7,Thermal Evaporation,Quartz,1.79,3.19,4.48,0.628299,96.58,Transparent Conductors,S11
1843_A80,Graphene,110.9,Sputtering,Glass,1.58,2.98,1.93,7.539463,71.71,Solar Cells,S16
1831_A81,Al2O3,129.9,Thermal Evaporation,Silicon Wafer,2.93,1.7,4.51,66.551438,92.16,Transparent Conductors,S20
795_A82,Graphene,77.8,Thermal Evaporation,Silicon Wafer,1.74,3.88,2.97,69.44279,70.18,Solar Cells,S2
1821_A83,TiO2,113.0,ALD,Glass,2.05,1.66,1.75,3.374221,81.64,Sensors,S2
2002_A84,SnO2,131.1,Sputtering,Glass,2.34,2.85,4.29,101.297977,78.73,Solar Cells,S24
145_A85,SiO2,103.5,Spin Coating,Quartz,1.67,1.56,0.77,71.58689,90.15,Sensors,S4
2526_A86,Al2O3,83.6,CVD,PET,1.68,2.85,4.44,83.840396,79.33,Transparent Conductors,S9
1331_A87,SnO2,49.4,ALD,Glass,2.83,2.67,3.31,30.792758,85.87,Sensors,S5
2478_A88,MoS2,110.8,Sputtering,Quartz,2.24,3.55,2.66,54.417559,96.78,Optoelectronics,S17
2882_A89,Al2O3,88.5,CVD,Quartz,2.08,3.72,4.11,49.665751,75.53,Transparent Conductors,S7
322_A90,Al2O3,50.9,Spin Coating,Silicon Wafer,2.86,1.72,0.91,45.279469,94.19,Solar Cells,S5
1262_A91,SnO2,112.9,ALD,Silicon Wafer,2.24,2.91,3.07,86.897181,84.46,Solar Cells,S16
2415_A92,Al2O3,106.8,Spin Coating,Glass,1.56,1.85,3.67,38.88948,80.13,Sensors,S25
1270_A93,ITO,88.5,Spin Coating,PET,2.62,1.01,1.95,51.841321,76.22,Solar Cells,S24
1761_A94,TiO2,84.7,Sputtering,PET,1.59,3.42,2.94,93.596392,84.08,Transparent Conductors,S16
417_A95,Graphene,95.3,Thermal Evaporation,Quartz,2.7,2.4,3.59,87.782475,91.6,Transparent Conductors,S3
2632_A96,SiO2,134.5,Spin Coating,Glass,2.04,2.39,3.97,47.63917,72.12,Transparent Conductors,S5
2292_A97,SnO2,135.7,Sputtering,Silicon Wafer,2.49,1.36,3.23,56.849369,92.57,Solar Cells,S15
175_A98,SnO2,65.9,Sputtering,Quartz,2.93,3.15,3.19,17.481541,82.64,Sensors,S10
1726_A99,SnO2,95.0,Thermal Evaporation,Quartz,1.88,2.81,2.04,9.918579,92.28,Transparent Conductors,S16
2176_A100,MoS2,121.9,Spin Coating,Quartz,2.6,1.23,1.98,69.34171,76.61,Transparent Conductors,S8
46_A101,TiO2,156.1,Spin Coating,PET,2.01,1.27,0.57,32.906973,81.11,Transparent Conductors,S22
686_A102,Graphene,87.5,Sputtering,Silicon Wafer,1.83,2.65,2.66,43.649153,71.6,Solar Cells,S5
1608_A103,MoS2,84.3,ALD,Silicon Wafer,1.99,2.42,1.23,24.003592,83.86,Solar Cells,S11
1232_A104,TiO2,90.8,CVD,Glass,2.88,3.87,4.8,3.218211,78.87,Sensors,S22
863_A105,TiO2,141.1,Sputtering,PET,1.93,3.76,4.47,65.744412,84.57,Optoelectronics,S20
1966_A106,Graphene,131.0,Sputtering,PET,2.06,0.99,1.12,71.646013,93.03,Optoelectronics,S7
332_A107,MoS2,32.1,Sputtering,PET,1.89,3.17,2.83,61.120093,74.52,Sensors,S21
94_A108,SnO2,109.0,Sputtering,Quartz,1.55,4.0,3.32,12.563381,88.16,Sensors,S3
1642_A109,SnO2,43.6,CVD,Silicon Wafer,1.69,2.09,3.48,66.419822,90.43,Sensors,S10
2987_A110,SiO2,98.8,CVD,Glass,2.45,1.13,2.49,96.327673,89.97,Optoelectronics,S4
507_A111,SnO2,99.2,ALD,Silicon Wafer,1.85,1.82,3.08,7.586231,89.75,Optoelectronics,S23
2910_A112,TiO2,98.8,Sputtering,PET,3.03,2.15,4.9,38.958164,83.22,Solar Cells,S24
2046_A113,SnO2,58.0,Sputtering,Glass,2.91,1.69,0.84,42.357144,85.78,Solar Cells,S6
496_A114,Al2O3,63.0,ALD,Silicon Wafer,2.14,3.43,3.67,59.443247,85.44,Solar Cells,S5
2133_A115,Graphene,120.6,Thermal Evaporation,Silicon Wafer,2.77,2.33,3.88,21.915063,85.14,Sensors,S24
1_A116,Graphene,127.2,CVD,Glass,1.65,3.56,3.86,55.088549,84.23,Optoelectronics,S8
315_A117,TiO2,102.9,CVD,Quartz,2.81,3.11,3.9,97.864953,84.33,Transparent Conductors,S11
1273_A118,MoS2,74.2,Spin Coating,Silicon Wafer,2.6,2.48,0.75,80.809763,71.35,Optoelectronics,S22
1942_A119,MoS2,122.2,Spin Coating,Quartz,2.51,1.72,3.61,74.632808,88.21,Optoelectronics,S19
2968_A120,MoS2,78.8,Sputtering,Glass,2.2,1.77,0.98,92.602075,75.21,Sensors,S13
1317_A121,ZnO,53.5,ALD,Glass,2.41,3.58,1.06,44.696002,71.84,Solar Cells,S15
756_A122,SiO2,84.7,CVD,Glass,2.06,3.75,4.23,39.029756,90.06,Solar Cells,S1
1771_A123,ZnO,51.2,Sputtering,Glass,2.79,2.85,4.71,69.953275,77.6,Optoelectronics,S10
1201_A124,ITO,90.3,ALD,Glass,2.56,2.47,1.62,13.561837,76.65,Solar Cells,S2
2175_A125,Al2O3,104.3,Spin Coating,Silicon Wafer,1.55,4.0,2.73,70.278883,74.18,Optoelectronics,S19
1992_A126,SiO2,113.9,ALD,Silicon Wafer,2.72,3.63,4.32,72.983167,86.37,Optoelectronics,S5
880_A127,Al2O3,45.4,Thermal Evaporation,PET,2.45,2.73,4.1,58.447026,89.99,Solar Cells,S17
766_A128,MoS2,155.1,Spin Coating,Glass,2.51,3.27,1.66,43.432111,89.23,Solar Cells,S11
928_A129,TiO2,52.8,Thermal Evaporation,Silicon Wafer,2.09,1.06,2.18,18.523405,85.78,Transparent Conductors,S16
2378_A130,ZnO,72.4,CVD,Glass,1.5,3.2,4.39,34.621713,75.55,Sensors,S10
1375_A131,Al2O3,59.5,CVD,Quartz,1.82,3.61,1.53,29.3332,91.9,Transparent Conductors,S4
1815_A132,SiO2,114.5,Sputtering,Glass,1.72,1.69,3.7,59.491008,73.1,Sensors,S1
1799_A133,ITO,125.3,ALD,Glass,2.64,3.26,1.87,86.299097,81.41,Solar Cells,S16
930_A134,Al2O3,100.0,Sputtering,Quartz,2.0,3.72,0.65,45.168471,72.01,Transparent Conductors,S20
437_A135,SnO2,108.6,ALD,PET,2.21,1.29,0.76,91.379074,83.56,Sensors,S5
197_A136,SnO2,70.4,Spin Coating,PET,1.96,3.39,1.36,8.17456,85.18,Optoelectronics,S9
1763_A137,Graphene,109.9,Spin Coating,Silicon Wafer,1.77,2.96,4.37,10.343881,71.96,Sensors,S11
1065_A138,ZnO,118.9,Spin Coating,Quartz,2.37,3.47,5.02,86.522312,70.18,Optoelectronics,S12
2343_A139,Al2O3,123.5,Spin Coating,Quartz,2.98,1.02,4.3,26.895277,78.39,Sensors,S3
2529_A140,TiO2,139.1,ALD,Silicon Wafer,2.88,2.13,3.47,83.075912,83.28,Sensors,S21
1269_A141,ZnO,127.6,Thermal Evaporation,PET,2.16,1.4,2.71,25.25447,78.19,Solar Cells,S8
2324_A142,Graphene,111.7,Sputtering,Silicon Wafer,2.37,2.13,3.14,69.978053,83.29,Optoelectronics,S2
2780_A143,Graphene,147.9,ALD,Silicon Wafer,2.58,1.0,1.1,21.837447,88.71,Optoelectronics,S25
2226_A144,MoS2,84.8,CVD,PET,2.29,2.82,2.27,29.280829,86.9,Transparent Conductors,S3
451_A145,Al2O3,108.8,Spin Coating,PET,2.47,3.23,1.53,23.618227,94.76,Transparent Conductors,S22
2165_A146,SiO2,123.1,Sputtering,Quartz,2.03,3.49,1.77,8.420202,77.32,Transparent Conductors,S6
2373_A147,Al2O3,79.0,Thermal Evaporation,PET,2.61,1.48,3.36,67.712135,84.39,Transparent Conductors,S23
2013_A148,Al2O3,87.3,Spin Coating,Glass,2.13,1.44,1.2,51.880861,74.35,Optoelectronics,S10
271_A149,SiO2,130.6,Thermal Evaporation,Glass,1.87,3.0,3.72,49.489133,92.66,Optoelectronics,S19
1841_A150,SiO2,69.0,ALD,Glass,2.28,3.75,3.09,71.659977,86.87,Solar Cells,S1
2935_A151,Al2O3,107.1,Sputtering,Silicon Wafer,1.93,2.67,0.52,49.312928,82.43,Solar Cells,S19
979_A152,ITO,159.1,Thermal Evaporation,PET,2.92,1.09,2.79,26.557835,71.06,Solar Cells,S3
2167_A153,Graphene,80.7,Sputtering,Silicon Wafer,2.73,3.96,4.1,32.358331,79.03,Solar Cells,S11
355_A154,MoS2,108.9,Spin Coating,Glass,2.25,2.21,2.05,13.590738,85.41,Solar Cells,S4
1877_A155,TiO2,73.9,CVD,Quartz,1.64,2.18,2.77,12.090995,83.33,Solar Cells,S15
185_A156,MoS2,123.2,Sputtering,Quartz,1.85,2.47,1.69,28.763267,74.17,Sensors,S5
2745_A157,SnO2,155.6,Sputtering,PET,2.23,1.58,1.97,94.382469,75.68,Solar Cells,S20
1615_A158,Graphene,102.8,Thermal Evaporation,Glass,1.56,3.92,3.6,34.59175,79.9,Transparent Conductors,S1
2760_A159,SiO2,91.6,Spin Coating,Glass,2.49,3.51,4.36,78.694577,82.92,Solar Cells,S7
1707_A160,Graphene,69.0,Spin Coating,Silicon Wafer,1.94,2.23,2.23,7.777862,77.77,Optoelectronics,S1
1862_A161,SnO2,113.3,CVD,Quartz,1.66,2.16,4.54,64.422646,94.88,Solar Cells,S14
247_A162,SiO2,83.3,Thermal Evaporation,PET,1.87,2.86,2.59,96.836597,89.72,Sensors,S9
556_A163,Al2O3,91.6,ALD,Silicon Wafer,2.62,1.38,1.39,38.728489,83.28,Optoelectronics,S12
1753_A164,SiO2,114.4,CVD,PET,2.57,2.36,3.18,13.27009,92.31,Transparent Conductors,S19
1365_A165,ITO,142.4,Sputtering,Quartz,1.92,3.44,0.85,31.946927,76.89,Sensors,S25
68_A166,MoS2,109.0,Thermal Evaporation,Glass,2.21,2.92,2.56,26.079339,78.69,Transparent Conductors,S10
2619_A167,Graphene,130.4,Spin Coating,Quartz,2.45,2.88,2.35,1.018906,89.02,Solar Cells,S17
2285_A168,ZnO,106.9,Thermal Evaporation,Silicon Wafer,2.61,1.69,2.8,34.453106,71.92,Optoelectronics,S24
533_A169,SnO2,43.1,ALD,Silicon Wafer,2.87,3.11,2.9,24.421613,86.76,Solar Cells,S12
2874_A170,SiO2,109.8,CVD,PET,1.99,3.66,1.25,33.321939,71.22,Solar Cells,S4
2706_A171,MoS2,128.9,Spin Coating,Quartz,2.02,1.2,1.89,52.079523,91.14,Sensors,S6
1503_A172,TiO2,66.0,Sputtering,Quartz,2.27,0.92,2.17,79.524295,70.09,Optoelectronics,S25
762_A173,TiO2,144.8,Spin Coating,Glass,2.86,3.58,3.96,87.520741,93.07,Solar Cells,S10
2753_A174,Graphene,53.9,ALD,Quartz,2.06,2.71,0.6,4.641903,89.59,Solar Cells,S17
1212_A175,TiO2,100.0,CVD,PET,2.72,1.88,2.41,15.033298,87.75,Transparent Conductors,S2
2244_A176,Al2O3,133.0,Sputtering,PET,2.24,2.58,2.71,3.704115,87.77,Optoelectronics,S8
1794_A177,ZnO,83.7,ALD,Quartz,1.6,1.01,1.51,57.885219,85.57,Sensors,S12
536_A178,SnO2,111.0,ALD,PET,2.09,2.51,2.66,14.825058,76.25,Solar Cells,S9
1747_A179,Al2O3,120.8,CVD,Quartz,2.04,2.83,4.03,33.568968,87.76,Sensors,S11
464_A180,Al2O3,123.4,ALD,Glass,1.91,2.96,1.37,37.24817,75.24,Sensors,S15
2678_A181,MoS2,90.0,ALD,Silicon Wafer,1.83,2.1,0.8,36.310833,74.5,Transparent Conductors,S4
1840_A182,ITO,92.8,ALD,Silicon Wafer,1.59,1.19,4.08,98.90803,84.74,Transparent Conductors,S17
2863_A183,MoS2,75.7,ALD,Glass,2.22,3.71,1.22,11.142996,93.28,Optoelectronics,S5
125_A184,SiO2,81.8,ALD,Silicon Wafer,2.08,2.97,3.03,14.557017,73.55,Transparent Conductors,S19
179_A185,Al2O3,91.1,CVD,Glass,1.81,2.79,1.02,47.849224,91.49,Solar Cells,S19
193_A186,MoS2,59.9,Sputtering,Quartz,3.02,2.59,0.92,70.168637,77.21,Optoelectronics,S7
2308_A187,SnO2,110.9,CVD,PET,2.44,4.02,3.25,41.649996,88.81,Solar Cells,S14
1430_A188,ZnO,81.8,ALD,Silicon Wafer,2.85,3.71,3.0,96.940706,85.77,Optoelectronics,S10
1692_A189,Al2O3,56.6,CVD,Quartz,1.84,3.79,0.56,17.470867,85.01,Transparent Conductors,S13
742_A190,ITO,77.2,CVD,Glass,1.55,2.71,4.21,47.921377,80.96,Optoelectronics,S15
1035_A191,ZnO,106.5,ALD,Quartz,1.64,2.4,1.43,80.196057,93.18,Solar Cells,S5
1967_A192,Graphene,74.9,Sputtering,PET,2.83,2.09,2.52,0.433962,85.04,Solar Cells,S9
479_A193,ITO,91.7,Spin Coating,PET,1.57,1.71,2.96,38.338046,92.14,Transparent Conductors,S10
1028_A194,SiO2,93.5,ALD,Silicon Wafer,1.6,1.1,3.06,44.526507,82.57,Solar Cells,S8
2602_A195,TiO2,97.5,CVD,PET,2.11,1.36,0.89,63.899833,89.68,Optoelectronics,S14
369_A196,Al2O3,90.5,Sputtering,PET,2.53,2.98,3.74,6.747942,84.75,Solar Cells,S21
2524_A197,SiO2,82.1,Sputtering,Silicon Wafer,1.91,2.58,4.03,105.327301,78.87,Optoelectronics,S15
846_A198,ZnO,88.3,CVD,Silicon Wafer,2.3,1.3,2.0,53.826476,89.8,Sensors,S17
257_A199,SiO2,122.4,Sputtering,Quartz,2.02,1.7,4.46,51.505112,73.28,Transparent Conductors,S16
1223_A200,ITO,114.4,Spin Coating,Quartz,2.68,1.87,3.08,25.567545,95.3,Sensors,S3
1993_A201,ZnO,84.1,Sputtering,Silicon Wafer,1.72,1.65,2.93,95.8779,91.53,Solar Cells,S6
212_A202,ZnO,94.2,Thermal Evaporation,Silicon Wafer,1.99,3.9,0.83,7.432697,77.95,Solar Cells,S6
2690_A203,Al2O3,149.1,ALD,Glass,2.12,3.47,3.42,32.708578,74.48,Optoelectronics,S20
1950_A204,SiO2,105.0,Sputtering,Glass,2.51,1.13,3.61,39.827669,82.27,Optoelectronics,S25
1363_A205,SnO2,112.7,CVD,Quartz,1.67,2.73,1.55,98.103553,77.21,Optoelectronics,S2
2152_A206,TiO2,115.4,CVD,PET,2.04,1.98,4.11,0.646788,90.55,Transparent Conductors,S10
2154_A207,ZnO,47.7,Spin Coating,Silicon Wafer,1.95,1.25,4.63,46.237025,72.54,Optoelectronics,S18
568_A208,TiO2,100.5,Spin Coating,PET,1.81,2.68,2.37,88.387222,79.37,Transparent Conductors,S20
2207_A209,MoS2,89.8,ALD,PET,1.87,3.02,0.63,79.726433,92.98,Transparent Conductors,S18
2094_A210,Graphene,76.1,Thermal Evaporation,Glass,1.79,2.35,3.18,59.210241,87.85,Solar Cells,S4
1711_A211,SnO2,66.7,Sputtering,Glass,2.83,3.69,3.74,4.019728,70.02,Transparent Conductors,S15
1264_A212,Al2O3,95.6,Spin Coating,PET,2.07,1.95,1.62,9.24757,87.99,Sensors,S17
2124_A213,SnO2,108.1,Sputtering,PET,2.48,2.87,3.61,56.280147,74.05,Sensors,S19
799_A214,SnO2,136.3,ALD,Glass,2.64,2.03,3.38,41.666688,88.55,Solar Cells,S3
81_A215,MoS2,103.9,ALD,PET,2.32,1.18,1.86,33.272946,92.74,Transparent Conductors,S4
33_A216,ITO,100.7,Thermal Evaporation,Silicon Wafer,2.92,1.26,0.99,10.260747,74.43,Sensors,S14
415_A217,MoS2,100.4,Thermal Evaporation,Silicon Wafer,1.61,1.56,5.04,99.479531,74.08,Transparent Conductors,S17
1805_A218,SnO2,60.6,Thermal Evaporation,Quartz,2.72,1.86,1.25,26.042453,77.8,Optoelectronics,S8
2214_A219,ZnO,84.3,ALD,PET,2.76,1.15,1.54,65.950498,86.31,Solar Cells,S1
1322_A220,SnO2,127.0,Spin Coating,Glass,1.84,2.67,1.44,19.006361,78.1,Sensors,S16
1568_A221,TiO2,102.2,CVD,Glass,1.62,1.9,3.85,12.10845,80.12,Sensors,S22
784_A222,TiO2,113.1,CVD,Quartz,2.89,1.92,1.2,11.156845,71.05,Sensors,S22
2992_A223,MoS2,142.0,Thermal Evaporation,Quartz,2.2,1.81,0.89,61.160481,77.07,Transparent Conductors,S6
1413_A224,Al2O3,102.7,Spin Coating,Quartz,1.56,1.59,1.96,56.561342,71.5,Transparent Conductors,S24
458_A225,MoS2,81.2,Spin Coating,Silicon Wafer,1.99,3.9,4.41,1.737312,85.17,Transparent Conductors,S2
140_A226,MoS2,105.9,Spin Coating,Glass,2.93,3.3,1.13,35.897682,87.36,Transparent Conductors,S17
2231_A227,TiO2,98.9,ALD,Glass,2.1,2.96,4.48,17.608449,82.86,Sensors,S13
1026_A228,ITO,119.2,Sputtering,Glass,2.6,3.62,3.59,17.895418,91.25,Transparent Conductors,S8
89_A229,SnO2,52.3,Spin Coating,Glass,1.76,3.65,1.56,71.297982,82.78,Optoelectronics,S21
1443_A230,Graphene,140.6,Spin Coating,PET,1.86,1.9,1.42,30.558448,89.97,Transparent Conductors,S12
1832_A231,MoS2,84.7,Sputtering,Quartz,2.12,3.79,3.41,35.009231,89.68,Optoelectronics,S25
2577_A232,SnO2,95.3,ALD,Glass,2.44,2.22,1.78,90.148398,96.5,Optoelectronics,S3
255_A233,ZnO,80.7,ALD,PET,2.79,2.28,1.85,42.133306,92.76,Transparent Conductors,S16
606_A234,SiO2,100.2,CVD,Glass,2.83,3.36,2.43,93.615952,83.2,Transparent Conductors,S7
1045_A235,SiO2,81.5,Thermal Evaporation,Quartz,2.89,3.89,3.76,28.477906,86.16,Transparent Conductors,S14
569_A236,Graphene,81.6,CVD,Glass,2.19,1.24,1.4,56.641337,88.68,Optoelectronics,S12
1733_A237,SiO2,129.0,Spin Coating,PET,3.01,2.71,3.4,73.368973,80.05,Solar Cells,S3
2543_A238,MoS2,83.5,Spin Coating,PET,2.76,1.31,3.0,82.969409,84.4,Transparent Conductors,S16
858_A239,MoS2,66.6,CVD,Quartz,1.89,1.09,3.73,0.541957,80.72,Transparent Conductors,S12
2473_A240,SiO2,132.9,ALD,Silicon Wafer,1.73,1.63,0.68,50.850272,72.88,Optoelectronics,S20
