ID,Material,Film_Thickness_nm,Deposition_Method,Substrate,Refractive_Index,Bandgap_eV,Surface_Roughness_nm,Electrical_Conductivity_S_cm,Optical_Transmittance_%,Application,Source
47,ZnO,119.4,Sputtering,Silicon Wafer,2.09,3.97,2.24,74.389396,77.23,Sensors,S23
48,Graphene,143.2,ALD,PET,2.29,3.99,2.51,35.774591,82.41,Sensors,S22
49,TiO2,131.6,CVD,Silicon Wafer,2.82,3.44,0.68,2.698507,76.2,Solar Cells,S3
50,Graphene,115.1,CVD,Quartz,1.96,1.72,4.21,73.558496,72.15,Optoelectronics,S25
51,MoS2,68.9,Spin Coating,Glass,2.83,1.18,3.38,96.158485,88.74,Sensors,S22
52,ITO,76.9,Spin Coating,PET,1.78,2.7,1.33,71.496968,80.01,Sensors,S22
53,ITO,84.2,CVD,PET,2.88,1.99,0.52,24.288694,81.82,Sensors,S13
54,Graphene,103.8,Thermal Evaporation,Quartz,1.97,2.93,3.87,31.614399,83.52,Sensors,S18
55,SiO2,106.3,ALD,Quartz,2.79,1.36,4.31,4.146393,83.8,Solar Cells,S21
56,SnO2,131.8,ALD,PET,2.67,2.09,0.67,59.002515,90.62,Transparent Conductors,S4
57,Graphene,98.2,Sputtering,Quartz,2.19,2.0,2.96,82.228531,74.65,Optoelectronics,S14
58,TiO2,126.4,Sputtering,Silicon Wafer,2.21,2.07,2.39,75.912513,76.87,Transparent Conductors,S19
59,SnO2,110.0,CVD,PET,1.74,2.36,2.51,26.65973,73.76,Optoelectronics,S9
60,SnO2,106.1,Sputtering,Silicon Wafer,2.16,1.56,2.55,92.727099,72.25,Optoelectronics,S20
61,SnO2,115.8,Sputtering,Glass,1.85,2.28,0.9,54.269172,71.8,Sensors,S1
62,MoS2,126.3,Thermal Evaporation,Quartz,2.14,3.78,2.77,34.88763,83.67,Transparent Conductors,S20
63,ITO,83.4,Sputtering,Glass,1.8,2.61,0.85,15.430181,94.39,Transparent Conductors,S5
64,SiO2,111.1,Sputtering,Silicon Wafer,2.19,1.44,1.8,26.010389,89.36,Transparent Conductors,S22
65,MoS2,63.2,ALD,Quartz,2.88,2.89,4.63,98.162051,74.08,Sensors,S19
66,MoS2,109.6,Sputtering,PET,1.98,2.0,3.76,35.129537,83.16,Sensors,S25
67,ZnO,75.2,ALD,Glass,2.98,1.73,3.69,16.728063,93.63,Solar Cells,S18
68,MoS2,111.6,Thermal Evaporation,Glass,2.26,3.0,2.53,26.490708,79.02,Transparent Conductors,S10
69,SiO2,61.0,Sputtering,Quartz,1.9,1.54,3.11,94.74263,72.73,Solar Cells,S8
70,ITO,105.4,ALD,Quartz,1.84,2.93,4.96,54.663472,77.64,Optoelectronics,S22
71,SnO2,117.8,Thermal Evaporation,PET,2.79,3.68,2.34,43.315156,78.47,Transparent Conductors,S19
72,TiO2,100.6,Spin Coating,Silicon Wafer,1.75,2.28,4.67,56.723253,77.75,Optoelectronics,S2
73,ZnO,111.5,ALD,PET,2.24,3.3,4.99,33.546903,82.77,Optoelectronics,S7
74,TiO2,94.3,CVD,PET,1.92,2.05,2.99,83.348139,94.01,Optoelectronics,S13
75,ZnO,78.2,Thermal Evaporation,Silicon Wafer,2.99,1.31,0.6,67.280012,81.27,Transparent Conductors,S19
76,Al2O3,118.8,Sputtering,PET,1.54,2.04,4.7,44.504437,79.5,Optoelectronics,S20
77,ZnO,78.8,Thermal Evaporation,Glass,1.62,2.24,3.65,5.129587,91.11,Optoelectronics,S14
78,ZnO,134.3,Spin Coating,Silicon Wafer,1.54,3.45,3.48,92.259246,84.15,Optoelectronics,S9
79,TiO2,130.8,Thermal Evaporation,Quartz,2.92,1.4,2.59,97.506109,93.43,Transparent Conductors,S12
80,Al2O3,105.9,ALD,Quartz,2.02,3.98,2.2,20.98256,83.61,Transparent Conductors,S13
81,MoS2,100.7,ALD,PET,2.28,1.26,1.71,33.252753,93.84,Transparent Conductors,S4
82,ITO,82.2,Sputtering,PET,2.49,1.96,2.61,89.604508,75.51,Sensors,S9
83,MoS2,135.8,Sputtering,Silicon Wafer,1.58,1.62,2.59,17.543199,90.92,Transparent Conductors,S9
84,Graphene,92.6,CVD,PET,2.41,2.67,3.42,84.344326,79.17,Sensors,S3
85,MoS2,87.4,Spin Coating,Glass,1.71,1.94,0.89,22.010437,75.64,Solar Cells,S7
86,TiO2,121.3,Sputtering,PET,2.47,2.4,2.64,47.049195,93.61,Sensors,S12
87,ITO,122.5,Spin Coating,Quartz,2.92,3.47,0.58,81.041389,79.46,Optoelectronics,S3
88,ZnO,149.0,Spin Coating,Quartz,2.42,3.81,1.03,73.073554,80.08,Sensors,S25
89,SnO2,54.8,Spin Coating,Glass,1.8,3.59,1.73,75.280342,84.63,Optoelectronics,S21
90,SnO2,119.0,Spin Coating,PET,1.62,1.7,2.7,39.802409,88.6,Optoelectronics,S6
91,Al2O3,124.0,Thermal Evaporation,Glass,2.21,2.3,4.21,93.684661,85.73,Optoelectronics,S11
92,ZnO,136.7,ALD,Quartz,2.61,1.87,2.59,60.375314,77.62,Transparent Conductors,S10
93,SnO2,100.2,CVD,Quartz,1.84,1.69,3.36,6.21736,87.12,Solar Cells,S24
94,SnO2,107.8,Sputtering,Quartz,1.54,3.93,3.53,11.59152,87.81,Sensors,S3
95,TiO2,45.9,ALD,Glass,1.67,3.76,2.03,76.347788,89.0,Sensors,S17
96,SnO2,123.4,Thermal Evaporation,Glass,2.07,3.36,2.48,83.772408,82.96,Solar Cells,S14
97,Graphene,136.1,CVD,Glass,2.76,1.71,3.42,34.131151,89.51,Sensors,S1
98,TiO2,75.1,CVD,Quartz,2.38,2.76,4.2,18.25835,73.16,Solar Cells,S9
99,TiO2,112.2,Sputtering,Quartz,3.0,3.01,1.44,77.26852,92.64,Optoelectronics,S13
100,TiO2,108.1,Sputtering,Silicon Wafer,2.07,2.29,3.81,76.064334,93.13,Solar Cells,S23
101,TiO2,60.9,Spin Coating,Quartz,2.65,2.26,1.31,3.023478,94.3,Optoelectronics,S2
102,MoS2,88.2,Sputtering,Glass,2.79,3.95,0.92,2.748043,82.8,Transparent Conductors,S6
103,MoS2,97.1,Spin Coating,Glass,2.03,1.81,1.31,25.710403,84.87,Optoelectronics,S20
104,MoS2,114.0,Spin Coating,PET,2.93,3.73,0.57,79.599059,73.76,Optoelectronics,S14
105,SiO2,110.0,CVD,PET,2.8,2.28,1.88,15.014612,76.39,Solar Cells,S19
106,Graphene,118.8,Spin Coating,Glass,2.1,1.16,3.63,68.00018,90.89,Sensors,S11
107,Al2O3,78.8,Sputtering,Silicon Wafer,1.65,2.33,3.42,95.798988,90.55,Optoelectronics,S4
108,SnO2,95.3,Thermal Evaporation,Silicon Wafer,2.21,1.52,3.4,9.39627,70.14,Sensors,S11
109,TiO2,133.1,CVD,Silicon Wafer,2.68,3.23,1.46,66.344753,92.69,Transparent Conductors,S22
110,Graphene,76.9,Spin Coating,PET,2.29,2.21,1.36,67.525452,75.47,Sensors,S16
111,SnO2,109.9,Thermal Evaporation,Quartz,2.71,2.75,3.48,70.369704,78.29,Optoelectronics,S21
112,ZnO,58.3,Spin Coating,Glass,2.32,2.33,0.63,95.282796,80.55,Solar Cells,S25
113,ITO,118.2,Thermal Evaporation,Glass,1.55,2.01,2.54,9.910758,78.68,Sensors,S6
114,SiO2,92.4,ALD,Silicon Wafer,2.49,1.58,1.01,6.846639,84.74,Transparent Conductors,S3
115,SiO2,89.6,CVD,Quartz,1.53,2.82,4.67,64.906285,86.51,Optoelectronics,S5
116,MoS2,78.8,Thermal Evaporation,Glass,1.53,3.25,2.53,24.019735,72.37,Sensors,S3
117,ZnO,84.2,Spin Coating,PET,2.67,1.21,4.04,33.442395,74.23,Transparent Conductors,S20
118,Al2O3,99.1,ALD,Glass,1.97,2.25,4.59,45.376492,85.45,Solar Cells,S21
119,ITO,157.5,Spin Coating,Quartz,1.64,2.07,2.85,9.378965,80.68,Transparent Conductors,S7
120,TiO2,115.6,Thermal Evaporation,Silicon Wafer,2.84,3.82,0.79,87.068658,78.71,Optoelectronics,S17
121,ZnO,82.2,CVD,Glass,2.36,1.75,4.05,82.69037,90.88,Transparent Conductors,S17
122,SnO2,78.5,Sputtering,Glass,2.29,3.08,4.67,59.808431,86.93,Optoelectronics,S21
123,Al2O3,114.9,Sputtering,PET,2.03,2.01,3.32,12.271847,75.41,Sensors,S6
124,ITO,124.6,Spin Coating,Quartz,2.11,3.25,1.94,85.790995,75.37,Transparent Conductors,S14
125,SiO2,81.8,ALD,Silicon Wafer,2.1,2.88,3.23,13.391557,72.51,Transparent Conductors,S19
126,Graphene,124.0,Sputtering,PET,2.04,2.6,0.8,99.615645,79.22,Optoelectronics,S20
127,Al2O3,76.6,Thermal Evaporation,PET,1.51,2.79,3.66,96.216098,75.47,Transparent Conductors,S9
128,Graphene,78.6,ALD,PET,2.67,1.94,2.3,27.595342,74.93,Transparent Conductors,S21
129,Graphene,116.2,Thermal Evaporation,Silicon Wafer,1.52,3.9,1.84,8.003933,73.69,Optoelectronics,S6
130,ITO,110.6,Sputtering,Glass,2.66,3.12,3.05,97.566457,78.97,Optoelectronics,S4
131,Al2O3,119.6,Thermal Evaporation,PET,1.62,2.78,1.06,95.464791,74.42,Solar Cells,S21
132,Graphene,114.8,Thermal Evaporation,Silicon Wafer,2.38,3.76,2.62,33.279639,83.01,Transparent Conductors,S16
133,Al2O3,96.4,Thermal Evaporation,Glass,2.83,2.65,4.32,61.476434,81.28,Optoelectronics,S17
134,Graphene,129.9,Sputtering,Glass,2.17,3.3,3.56,44.862627,91.94,Solar Cells,S1
135,SiO2,25.6,ALD,Silicon Wafer,2.33,3.41,2.05,13.074582,82.38,Sensors,S18
136,Graphene,95.9,Sputtering,Glass,2.52,3.28,2.74,0.094135,80.08,Transparent Conductors,S23
137,SnO2,46.7,Thermal Evaporation,Glass,2.43,2.36,3.76,8.427776,81.5,Transparent Conductors,S17
138,Graphene,92.8,ALD,Glass,2.23,1.87,1.35,28.061627,71.14,Optoelectronics,S5
139,SnO2,135.1,Thermal Evaporation,Glass,2.15,2.35,2.95,48.326686,94.1,Transparent Conductors,S15
140,MoS2,110.2,Spin Coating,Glass,2.91,3.22,1.08,34.98824,85.01,Transparent Conductors,S17
141,Al2O3,134.0,CVD,PET,2.78,2.95,2.82,94.117676,82.54,Optoelectronics,S25
142,TiO2,95.4,Thermal Evaporation,PET,2.51,2.51,4.06,73.615118,70.97,Transparent Conductors,S17
143,Graphene,88.3,Spin Coating,Silicon Wafer,1.67,1.72,4.24,10.140118,85.69,Sensors,S7
144,MoS2,85.5,CVD,Quartz,1.71,1.87,4.27,99.722754,88.74,Sensors,S4
145,SiO2,105.2,Spin Coating,Quartz,1.71,1.48,0.74,68.563176,90.53,Sensors,S4
146,Al2O3,78.5,Sputtering,Glass,1.84,1.12,1.59,52.38814,78.83,Solar Cells,S23
147,Graphene,124.5,ALD,Silicon Wafer,1.98,3.95,4.95,95.449638,74.18,Solar Cells,S21
148,Graphene,91.5,Sputtering,PET,1.87,2.47,2.39,49.79802,85.09,Transparent Conductors,S3
149,SiO2,67.1,ALD,PET,1.89,3.74,3.19,52.202661,73.2,Solar Cells,S16
150,SiO2,53.8,Thermal Evaporation,Glass,2.1,3.54,2.87,81.433398,88.06,Transparent Conductors,S5
151,SnO2,153.1,ALD,PET,2.44,2.44,2.36,82.485727,92.47,Sensors,S10
152,SnO2,100.5,Spin Coating,Glass,2.01,2.81,2.43,69.490114,78.97,Optoelectronics,S16
153,ZnO,132.2,CVD,PET,1.96,2.22,0.92,70.825483,86.15,Sensors,S18
154,ZnO,47.8,Spin Coating,Quartz,1.81,2.96,4.0,26.83632,77.22,Optoelectronics,S8
155,Al2O3,70.7,CVD,Quartz,2.12,1.81,4.38,87.851586,89.63,Sensors,S24
156,ZnO,125.9,Thermal Evaporation,PET,2.67,2.57,0.56,78.371985,71.2,Sensors,S8
157,Al2O3,94.0,Sputtering,Quartz,2.8,2.48,1.67,97.336215,87.8,Solar Cells,S5
158,SnO2,104.4,ALD,Silicon Wafer,2.69,2.12,2.28,5.412007,94.6,Optoelectronics,S14
159,SiO2,124.0,Sputtering,Quartz,2.35,3.26,1.83,85.619431,79.09,Optoelectronics,S2
160,ITO,140.5,ALD,Quartz,2.87,2.51,2.83,35.723548,84.99,Optoelectronics,S13
161,SiO2,91.8,CVD,Quartz,1.7,2.21,1.96,8.500627,77.74,Optoelectronics,S5
162,MoS2,80.1,Thermal Evaporation,Glass,1.65,3.74,4.54,38.662592,94.62,Sensors,S16
163,TiO2,106.4,CVD,Silicon Wafer,2.06,1.4,2.93,62.475092,94.36,Sensors,S6
164,SiO2,77.4,Thermal Evaporation,PET,2.68,3.3,2.9,98.982161,75.06,Transparent Conductors,S18
165,SnO2,39.7,CVD,Silicon Wafer,1.89,2.19,3.33,44.219885,73.23,Solar Cells,S8
166,SiO2,107.7,Sputtering,PET,1.96,1.79,1.39,22.152349,78.42,Solar Cells,S19
167,Al2O3,32.4,Thermal Evaporation,Quartz,2.34,2.0,1.49,40.481651,84.59,Sensors,S18
168,SnO2,93.1,Spin Coating,Glass,1.9,1.83,1.34,25.574533,85.36,Optoelectronics,S3
169,SnO2,72.4,CVD,Glass,2.06,3.46,1.84,28.223914,75.28,Sensors,S17
170,ITO,119.8,Sputtering,Silicon Wafer,2.21,2.2,3.82,88.8535,88.88,Optoelectronics,S16
171,Al2O3,42.9,ALD,Glass,2.86,1.12,1.36,74.90641,93.58,Transparent Conductors,S24
172,ITO,92.5,ALD,PET,2.28,3.57,0.86,62.628355,86.87,Transparent Conductors,S7
173,Al2O3,127.2,CVD,Glass,2.08,1.39,1.21,73.270589,70.19,Transparent Conductors,S5
174,SnO2,114.0,ALD,Glass,2.8,1.36,4.89,50.365401,86.95,Solar Cells,S3
175,SnO2,65.6,Sputtering,Quartz,2.89,3.22,3.19,15.900743,83.44,Sensors,S10
176,SiO2,112.9,Thermal Evaporation,Silicon Wafer,2.86,1.02,2.55,62.775986,73.45,Transparent Conductors,S24
177,SnO2,149.4,Sputtering,PET,1.95,2.07,4.19,69.585298,94.28,Transparent Conductors,S24
178,TiO2,145.7,Thermal Evaporation,Silicon Wafer,2.92,3.75,0.87,39.93708,93.74,Optoelectronics,S14
179,Al2O3,89.1,CVD,Glass,1.84,2.71,1.11,43.993373,93.52,Solar Cells,S19
180,MoS2,84.2,CVD,PET,2.7,3.67,2.85,19.214514,83.03,Sensors,S8
181,MoS2,109.9,Sputtering,Glass,2.95,2.48,2.16,88.663694,81.06,Sensors,S22
182,ITO,71.6,Thermal Evaporation,Silicon Wafer,2.29,1.68,1.3,79.750424,89.8,Sensors,S16
183,SnO2,87.8,Spin Coating,Silicon Wafer,1.54,1.62,4.41,58.611749,94.65,Optoelectronics,S5
184,ZnO,109.5,Sputtering,PET,2.64,2.79,3.46,12.995473,88.24,Transparent Conductors,S8
185,MoS2,121.6,Sputtering,Quartz,1.84,2.45,1.57,31.947261,75.13,Sensors,S5
186,SnO2,116.1,ALD,Silicon Wafer,2.47,1.93,3.34,69.235705,94.26,Solar Cells,S14
187,SiO2,86.0,CVD,Quartz,2.67,2.39,0.74,8.800005,94.87,Optoelectronics,S3
188,Al2O3,74.5,Spin Coating,Silicon Wafer,2.02,1.6,1.94,49.750318,76.6,Sensors,S5
189,SiO2,126.1,Sputtering,Silicon Wafer,1.56,1.07,3.8,32.627289,81.05,Solar Cells,S13
190,ITO,115.7,Spin Coating,Glass,2.19,3.06,3.6,0.329529,94.94,Solar Cells,S15
191,SiO2,137.9,CVD,PET,2.06,3.31,2.75,24.757548,94.13,Sensors,S3
192,ITO,91.4,Thermal Evaporation,Silicon Wafer,2.79,2.45,4.93,19.061124,76.81,Transparent Conductors,S15
193,MoS2,61.3,Sputtering,Quartz,2.97,2.52,0.91,68.545315,75.95,Optoelectronics,S7
194,SnO2,171.4,Thermal Evaporation,Glass,2.53,3.32,3.42,45.052131,72.32,Transparent Conductors,S14
195,MoS2,111.2,Sputtering,Silicon Wafer,2.0,1.99,1.51,83.374118,93.93,Sensors,S13
196,MoS2,123.3,Sputtering,Glass,2.22,2.89,4.34,32.954393,82.39,Solar Cells,S14
197,SnO2,71.6,Spin Coating,PET,1.96,3.35,1.48,8.309584,83.5,Optoelectronics,S9
198,ZnO,68.9,Thermal Evaporation,Silicon Wafer,2.68,3.96,2.44,80.750335,90.78,Sensors,S12
199,ITO,78.4,Thermal Evaporation,Glass,1.79,1.54,2.15,43.652522,93.05,Transparent Conductors,S14
200,MoS2,82.1,ALD,Glass,2.43,2.68,4.47,17.935888,76.71,Solar Cells,S5
201,MoS2,88.4,CVD,Glass,1.73,1.93,3.64,57.066365,92.71,Sensors,S22
202,ZnO,85.5,CVD,Silicon Wafer,2.73,2.89,2.84,90.136365,76.92,Solar Cells,S6
203,ITO,106.5,Sputtering,Glass,1.69,3.21,0.53,91.73668,86.86,Solar Cells,S25
204,SnO2,91.6,CVD,Silicon Wafer,1.8,1.38,1.52,13.496464,77.6,Solar Cells,S13
205,TiO2,77.6,Thermal Evaporation,Silicon Wafer,2.81,1.82,3.06,23.309794,75.12,Transparent Conductors,S20
206,ZnO,86.8,CVD,Quartz,2.38,2.96,4.94,48.708445,70.5,Transparent Conductors,S15
207,Graphene,119.1,Spin Coating,Silicon Wafer,2.99,1.3,3.81,79.104477,91.66,Transparent Conductors,S22
208,Al2O3,94.9,Spin Coating,Glass,1.98,1.23,4.4,74.355474,90.6,Solar Cells,S25
209,ZnO,92.4,ALD,Silicon Wafer,1.73,1.35,3.88,70.321926,85.85,Solar Cells,S5
210,Al2O3,96.9,Spin Coating,Quartz,1.91,2.79,3.8,73.657439,91.91,Transparent Conductors,S19
211,MoS2,114.4,Thermal Evaporation,Quartz,2.97,1.93,4.19,60.72417,88.61,Solar Cells,S16
212,ZnO,92.8,Thermal Evaporation,Silicon Wafer,2.02,3.87,0.8,8.184817,76.86,Solar Cells,S6
213,Al2O3,79.6,Thermal Evaporation,Glass,1.92,2.64,1.29,16.310237,88.91,Sensors,S22
214,MoS2,149.0,ALD,Quartz,2.91,2.31,4.71,3.539325,91.9,Sensors,S5
215,SiO2,102.2,ALD,Glass,2.05,1.88,1.51,51.607856,94.32,Transparent Conductors,S25
216,MoS2,97.0,CVD,Glass,1.81,3.71,1.27,14.234803,80.29,Optoelectronics,S22
217,TiO2,95.0,CVD,Silicon Wafer,2.52,3.49,2.07,42.182944,73.2,Transparent Conductors,S22
218,SiO2,75.8,Spin Coating,Glass,1.79,1.27,1.3,1.133533,70.5,Solar Cells,S9
219,SiO2,84.8,ALD,PET,2.76,2.57,0.82,61.269403,80.06,Sensors,S18
220,Al2O3,123.4,Sputtering,Quartz,1.94,2.98,1.88,14.688365,83.24,Sensors,S13
221,Graphene,2.9,ALD,Glass,2.74,2.49,4.57,96.539603,80.69,Sensors,S20
222,ZnO,103.3,CVD,Glass,1.61,2.84,4.27,31.554891,91.13,Sensors,S14
223,SnO2,124.3,Sputtering,Glass,1.73,1.91,2.48,75.158926,72.43,Transparent Conductors,S21
224,ZnO,139.4,Sputtering,Quartz,2.2,1.88,3.02,10.609021,87.82,Transparent Conductors,S19
225,TiO2,100.6,Sputtering,Glass,1.95,2.5,2.7,79.696857,79.12,Sensors,S14
226,Al2O3,102.9,Thermal Evaporation,Silicon Wafer,1.82,3.78,1.06,61.133612,88.74,Sensors,S5
227,ZnO,114.2,Thermal Evaporation,Silicon Wafer,1.57,1.77,3.42,18.738676,74.56,Solar Cells,S17
228,TiO2,84.6,Spin Coating,Glass,1.77,1.54,0.84,15.699444,73.13,Transparent Conductors,S4
229,SnO2,48.5,Sputtering,Glass,1.67,1.37,4.65,64.005523,89.16,Transparent Conductors,S10
230,ZnO,30.8,ALD,Silicon Wafer,1.86,1.2,0.83,90.006306,70.64,Solar Cells,S16
231,Graphene,129.0,CVD,Glass,1.58,2.73,2.88,53.491826,91.07,Optoelectronics,S1
232,Al2O3,103.0,Thermal Evaporation,Glass,1.7,3.42,3.0,67.271403,92.79,Transparent Conductors,S19
233,ITO,104.7,Thermal Evaporation,PET,1.89,1.48,2.9,41.10023,82.75,Solar Cells,S17
234,ITO,78.1,Spin Coating,Quartz,2.18,3.88,1.06,4.282145,86.03,Sensors,S12
235,MoS2,83.3,ALD,PET,2.07,1.53,2.86,95.567993,87.1,Optoelectronics,S21
236,Graphene,65.6,Sputtering,Silicon Wafer,2.57,2.93,3.75,72.037163,71.95,Optoelectronics,S12
237,Al2O3,151.2,Sputtering,Quartz,2.58,3.91,0.59,87.837697,84.39,Sensors,S6
238,TiO2,89.2,Spin Coating,PET,2.59,4.0,0.78,25.132655,75.81,Transparent Conductors,S2
239,MoS2,113.8,CVD,PET,1.7,2.98,0.52,17.885413,93.88,Solar Cells,S3
240,SnO2,127.6,Sputtering,Silicon Wafer,1.58,1.47,4.78,35.259654,91.96,Solar Cells,S16
241,MoS2,108.7,Spin Coating,Glass,1.65,3.77,3.67,25.585986,85.2,Transparent Conductors,S4
242,ZnO,86.3,CVD,Silicon Wafer,2.61,1.87,3.08,96.882671,81.16,Solar Cells,S20
243,SnO2,101.8,Thermal Evaporation,Silicon Wafer,2.21,3.0,4.52,99.265964,84.62,Sensors,S17
244,SiO2,102.9,Thermal Evaporation,Glass,1.87,1.55,2.87,87.484915,71.24,Sensors,S24
245,ZnO,98.2,Thermal Evaporation,Quartz,2.03,2.17,1.82,15.829763,75.93,Solar Cells,S7
246,Al2O3,85.1,Sputtering,Silicon Wafer,1.54,1.43,4.79,54.377478,82.68,Optoelectronics,S17
247,SiO2,82.0,Thermal Evaporation,PET,1.86,2.83,2.66,96.283262,87.59,Sensors,S9
248,Al2O3,93.7,Spin Coating,PET,2.6,2.15,1.88,70.071049,83.46,Transparent Conductors,S16
249,SiO2,67.1,ALD,Silicon Wafer,2.94,3.76,0.64,99.607582,92.61,Optoelectronics,S5
250,TiO2,151.3,ALD,PET,2.6,3.68,2.62,87.416407,80.48,Solar Cells,S3
251,Graphene,89.3,Thermal Evaporation,Glass,2.33,3.15,3.37,23.980043,86.85,Optoelectronics,S1
252,SiO2,96.6,ALD,Quartz,2.45,2.33,3.98,21.322671,76.3,Sensors,S16
253,MoS2,85.9,Thermal Evaporation,Silicon Wafer,1.71,3.77,2.64,82.366242,83.76,Transparent Conductors,S10
254,MoS2,62.0,CVD,Glass,1.94,1.37,4.67,92.087906,76.3,Sensors,S13
255,ZnO,80.8,ALD,PET,2.79,2.23,1.9,41.310907,93.91,Transparent Conductors,S16
256,TiO2,64.8,ALD,Silicon Wafer,1.75,1.15,1.28,17.29613,78.79,Optoelectronics,S14
